Response Identifier,StartDate,EndDate,Status,Progress,Duration__in_seconds_,Finished,RecordedDate,UserLanguage,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,Consent,S1_live_work_1,S1_live_work_2,S1_live_work_3,S1_live_work_4,S1_live_work_5,S2_race_ethnicity_1,S2_race_ethnicity_2,S2_race_ethnicity_3,S2_race_ethnicity_4,S2_race_ethnicity_5,S2_race_ethnicity_6,S2_race_ethnicity_7,S2_race_ethnicity_7_TEXT,S3_18age,Q77,Q1_no_of_jobs,Q2_sector_precovid_1,Q2_sector_precovid_2,Q2_sector_precovid_3,Q2_sector_precovid_4,Q2_sector_precovid_5,Q2_sector_precovid_6,Q2_sector_precovid_7,Q2_sector_precovid_8,Q2_sector_precovid_9,Q2_sector_precovid_10,Q2_sector_precovid_9_TEXT,Q2_sector_precovid_10_TEXT,Q3_discrimination,Q4_laidoff,Q5_laidoff_prejudice,Q6_return_to_work_op,Q7_otherjobs,Q8_get_other_job,Q9_current_sector_1,Q9_current_sector_2,Q9_current_sector_3,Q9_current_sector_4,Q9_current_sector_5,Q9_current_sector_6,Q9_current_sector_7,Q9_current_sector_8,Q9_current_sector_9,Q9_current_sector_10,Q9_current_sector_9_TEXT,Q9_current_sector_10_TEXT,Q10_work_status,Q11_hours_change,Q12_conditions_chang,Q13_employer_offers_1,Q13_employer_offers_2,Q13_employer_offers_3,Q13_employer_offers_4,Q13_employer_offers_5,Q13_employer_offers_6,Q13_employer_offers_7,Q13_employer_offers_8,Q13_employer_offers_9,Q13_employer_offers_10,Q13_employer_offers_11,Q13_employer_offers_12,Q13_employer_offers_13,Q13_employer_offers_14,Q13_employer_offers_14_TEXT,Q14_work_location,Q15_remote_accom,Q16_onsite_safety,Q17_worker_laws_1,Q17_worker_laws_2,Q17_worker_laws_3,Q17_worker_laws_4,Q17_worker_laws_5,Q17_worker_laws_6,Q17_worker_laws_7,Q17_worker_laws_8,Q17_worker_laws_9,Q18_UI_applied,Q19_UI_applied_yes,Q20_UI_applied_no_1,Q20_UI_applied_no_2,Q20_UI_applied_no_3,Q20_UI_applied_no_4,Q21_looking_for_opps_1,Q21_looking_for_opps_2,Q21_looking_for_opps_3,Q21_looking_for_opps_4,Q21_looking_for_opps_5,Q21_looking_for_opps_4_TEXT,Q22_covid_testing,Q22_covid_testing_7_TEXT,Q23_poscovid_cowork,Q23_poscovid_cowork_1_TEXT,Q24_vaccine,Q25_no_vaccine_yet_1,Q25_no_vaccine_yet_2,Q25_no_vaccine_yet_3,Q25_no_vaccine_yet_4,Q25_no_vaccine_yet_5,Q26_respect,Q26_respect_2_TEXT,Q27_homerole_changes_1,Q27_homerole_changes_2,Q27_homerole_changes_3,Q27_homerole_changes_4,Q27_homerole_changes_5,Q27_homerole_changes_6,Q27_homerole_changes_7,Q27_homerole_changes_6_TEXT,Q28_housing_challeng,Q29_food_needs_met,Q30_financial_aid_1,Q30_financial_aid_2,Q30_financial_aid_3,Q30_financial_aid_4,Q30_financial_aid_5,Q30_financial_aid_6,Q30_financial_aid_5_TEXT,Q31_federal_stimulus,Q31_federal_stimulus_4_TEXT,Q32_stress_level_1,Q34_year_born,Q35_zipcode,Q36_gender_1,Q36_gender_2,Q36_gender_3,Q36_gender_4,Q36_gender_5,Q36_gender_6,Q36_gender_5_TEXT,Q37_kids_at_home,Q37_kids_at_home_1_TEXT,Q38_income,Validity,Five_min_flag,Ten_min_flag,Not_in_CA_Flag,Flag_Qualtrics_Bot,Flag_Qualtrics_Duplicate,Flag_Qualtrics_Fraud,Duplicate_IP,InDupGrp
1,4/21/21 10:57,4/21/21 11:15,0,100,1049,1,4/21/21 11:15,EN,0.9, ,0,0,10/14/1582 0:00:00,1, ,1, , , , , ,1, , , , , ,1,,2,1, , , , , , , , , , , ,1,1,1,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , ,1, , , , ,1, ,2, , , ,2, , , , , , , , ,1, , ,1, , , , ,3,1, , , , , , , , ,5,1966,91764, ,1, , , , , ,2, ,4,1, , , , , , ,0,1
2,4/24/21 18:11,4/24/21 18:23,0,100,753,1,4/24/21 18:23,EN,1, ,0,0,10/14/1582 0:00:00,1,1, , , , , , ,1, , , , , ,1,,2, , , , ,1, , , , , , , ,2,3, ,1, , , , , ,1,1, , , , , , , ,4,4,1, , , , , ,1,1,1,1,1, , , , , ,2, ,1, , , , , ,1, , , ,1,1, , , , , , , , ,1, ,6, , , ,3, , , ,1, , , , , , , , , ,1, ,2,3,1, , , , , , , , ,3,1996,90810, ,1, , , , , ,2, ,2,1, , , , , , ,0,1
3,4/26/21 19:12,4/26/21 19:20,0,100,481,1,4/26/21 19:20,EN,0.9, ,0,0,10/14/1582 0:00:00,1,1, , , , , , ,1, , , , , ,1,,4, ,1, , , , , , ,1, ,"Clothing brand, entrepreneur", ,2,4, , , , , , , , , , , , ,1, ,"Entrepreneur, clothing brand, car sales", ,4,4,1, , , , , , , , , , , ,1, , , , , , ,1,1,1,1,1,1,1, ,1,1, , , , , , , , ,1, , ,4, ,2, ,3, , , ,1, , , , , , , , , ,1, ,2,1, , , , , ,1, ,2, ,5,1997,90806,1, , , , , , ,2, ,4,1, ,1,1, , , ,0,1
4,4/27/21 16:21,4/27/21 16:28,0,100,437,1,4/27/21 16:28,EN,0.9, ,0,0,10/14/1582 0:00:00,1,1, , , , , , ,1, , , , , ,1,,2, , , , , , , , , ,1, ,Test Center Administrator,1,3,2,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,5, , , , , , , , ,1, ,2, , , ,3, , , , ,1, , , , , , , , ,1, ,1,3,1, , ,1, , , , , ,5,1990,90003, , ,1, , , , ,2, ,3,1, ,1, , , , ,0,1
5,4/28/21 12:33,4/28/21 12:37,0,100,245,1,4/28/21 12:37,EN,1,TRUE,100,0,4/16/21 0:30,1,1, , , , , , ,1, , , , , ,1,,3, , , , ,1, , , , , , , ,2,4, , , , , , , , ,1, , , , , , , ,1,3,1, ,1, , , , , , , , , , , , , ,1,2, ,1, ,1, , ,1, , , ,2, , , , ,1, , , , ,1, ,2, ,1,1,2, , , , , ,1, ,1,1, , , , , , ,1,1,1,1, , , , , , , ,4,1995,90034, ,1, , , , , ,2, ,5,1,1,1, , ,1, ,1,1
6,4/29/21 18:17,4/29/21 18:25,0,100,472,1,4/29/21 18:25,EN,0.9, ,0,0,10/14/1582 0:00:00,1, ,1, , , , , ,1, , , , , ,1,,3,1, , , ,1, , , , , , , ,2,2, ,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , ,2, , , ,1, , , , , ,1, ,6, , , ,2, , , , , , , , ,1, , , , , , ,2,1, , , , , ,1, ,2, ,5,1964,92324, ,1, , , , , ,2, ,7,1, ,1, , , , ,0,1
7,4/30/21 18:15,4/30/21 18:20,0,100,309,1,4/30/21 18:20,EN,0.9, ,0,0,10/14/1582 0:00:00,1,1, , , , ,1, ,1,1, , , , ,1,,2,1, , , , , , , , , , , ,1,3,2,1, , ,1, , , , , , , , , , , ,4,3,2, ,1, , , , , , , , , , , , , ,2, ,2,1, ,1, ,1, , , , , , , , , , ,1, , , , , ,4, , , ,1, , , , , , , , , , , , , ,1, , ,1,1, ,1, , , , , , ,5,1975,93535, ,1, , , , , ,2, ,4,1, ,1, , , , ,0,1
8,5/3/21 11:46,5/3/21 11:51,0,100,281,1,5/3/21 11:51,EN,1, ,0,0,10/14/1582 0:00:00,1, ,1, , , , , ,1, , , , , ,1,,1, , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,1,1,1,1,2, , , , ,1, , , , ,1, ,2, , , ,2, , , , , , , , , , , , , ,1, ,2,1, , , , , ,1, , , ,1,1943,92404,1, , , , , , ,2, ,7,1,1,1, , , , ,0,1
9,5/6/21 20:32,5/6/21 20:38,0,100,346,1,5/6/21 20:38,EN,1, ,0,0,10/14/1582 0:00:00,1,1, , , , , , ,1, , , , , ,1,,2, ,1, , , , , , , , , , ,2,1, ,1, , , ,1, , , , , , , , , , ,1,1,2, ,1, , , ,1,1,1,1, , , , , , ,2, ,2,1, ,1, , , , , , ,1,1, , , , , , , ,1, ,Aerospace,1, , , ,3, , ,1, , , , , ,1, , , , , , ,2,1,1, , , , , , , , ,5,1996,90034, ,1, , , , , ,2, ,6,1, ,1, , , , ,2,1
10,5/10/21 16:26,5/10/21 16:29,0,100,206,1,5/10/21 16:29,EN,0.9, ,0,0,10/14/1582 0:00:00,1, , , ,1, , , ,1, , ,1, , ,1,,3, ,1,1, , , , , , , , , , ,1, ,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , ,1, ,1,1,1, , , ,2, , , ,2, , , , , , , ,1,1,1,1,1, , , ,1,3,1, , , , , , , , , ,1986,92020, , , ,1, , , ,1,2,5,1,1,1, , , , ,0,1
